
2025/04/05 (01:41:49) | ===> btop++ v.1.4.0
2025/04/05 (01:41:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/05 (01:43:31) | ===> btop++ v.1.4.0
2025/04/05 (01:43:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/05 (01:44:30) | ===> btop++ v.1.4.0
2025/04/05 (01:44:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/21 (21:58:16) | ===> btop++ v.1.4.0
2025/04/21 (21:58:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/21 (22:00:26) | ===> btop++ v.1.4.0
2025/04/21 (22:00:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
